x	y	line_id
43.691	143.746	0082-0122
43.594	143.772	0082-0122
43.498	143.799	0082-0122
43.402	143.825	0082-0122
43.305	143.852	0082-0122
43.209	143.879	0082-0122
43.112	143.905	0082-0122
43.016	143.932	0082-0122
42.920	143.958	0082-0122
42.823	143.985	0082-0122
42.727	144.012	0082-0122
42.631	144.038	0082-0122
42.534	144.065	0082-0122
42.438	144.092	0082-0122
42.341	144.118	0082-0122
42.245	144.145	0082-0122
42.149	144.171	0082-0122
42.052	144.198	0082-0122
41.956	144.225	0082-0122
41.859	144.251	0082-0122
41.763	144.278	0082-0122
41.667	144.305	0082-0122
41.570	144.331	0082-0122
41.474	144.358	0082-0122
41.377	144.384	0082-0122
41.281	144.411	0082-0122
41.185	144.438	0082-0122
41.088	144.464	0082-0122
40.992	144.491	0082-0122
40.895	144.518	0082-0122
40.799	144.544	0082-0122
40.703	144.571	0082-0122
40.606	144.597	0082-0122
40.510	144.624	0082-0122
40.414	144.651	0082-0122
40.317	144.677	0082-0122
40.221	144.704	0082-0122
40.124	144.731	0082-0122
40.028	144.757	0082-0122
39.932	144.784	0082-0122
39.835	144.810	0082-0122
39.739	144.837	0082-0122
39.642	144.864	0082-0122
39.546	144.890	0082-0122
39.450	144.917	0082-0122
39.353	144.943	0082-0122
39.257	144.970	0082-0122
39.158	144.988	0082-0122
39.059	144.995	0082-0122
38.959	145.002	0082-0122
38.859	145.009	0082-0122
38.759	145.017	0082-0122
38.660	145.024	0082-0122
38.560	145.031	0082-0122
38.460	145.038	0082-0122
38.360	145.045	0082-0122
38.261	145.053	0082-0122
38.161	145.060	0082-0122
38.061	145.067	0082-0122
37.962	145.074	0082-0122
37.862	145.082	0082-0122
37.762	145.089	0082-0122
37.662	145.096	0082-0122
37.563	145.103	0082-0122
37.463	145.111	0082-0122
37.363	145.118	0082-0122
37.263	145.125	0082-0122
37.164	145.132	0082-0122
37.064	145.139	0082-0122
36.964	145.147	0082-0122
36.864	145.154	0082-0122
36.765	145.161	0082-0122
36.665	145.168	0082-0122
36.565	145.176	0082-0122
36.465	145.183	0082-0122
36.366	145.190	0082-0122
36.266	145.197	0082-0122
36.166	145.204	0082-0122
36.066	145.212	0082-0122
35.967	145.219	0082-0122
35.867	145.226	0082-0122
35.767	145.233	0082-0122
35.668	145.241	0082-0122
35.568	145.248	0082-0122
35.468	145.255	0082-0122
35.368	145.262	0082-0122
35.269	145.270	0082-0122
35.169	145.277	0082-0122
35.069	145.284	0082-0122
34.969	145.291	0082-0122
34.870	145.298	0082-0122
34.770	145.306	0082-0122
34.670	145.313	0082-0122
34.570	145.320	0082-0122
34.471	145.327	0082-0122
34.371	145.335	0082-0122
34.271	145.342	0082-0122
34.171	145.349	0082-0122
34.072	145.356	0082-0122
33.972	145.363	0082-0122
33.872	145.371	0082-0122
33.773	145.378	0082-0122
33.673	145.385	0082-0122
33.573	145.392	0082-0122
33.473	145.400	0082-0122
33.374	145.407	0082-0122
33.274	145.414	0082-0122
33.174	145.421	0082-0122
33.074	145.429	0082-0122
32.975	145.436	0082-0122
32.875	145.443	0082-0122
32.775	145.450	0082-0122
32.675	145.457	0082-0122
32.576	145.465	0082-0122
32.477	145.449	0082-0122
32.380	145.425	0082-0122
32.282	145.402	0082-0122
32.185	145.379	0082-0122
32.088	145.355	0082-0122
31.991	145.332	0082-0122
31.894	145.308	0082-0122
31.796	145.285	0082-0122
31.699	145.262	0082-0122
31.602	145.238	0082-0122
31.505	145.215	0082-0122
31.407	145.192	0082-0122
31.310	145.168	0082-0122
31.213	145.145	0082-0122
31.116	145.122	0082-0122
31.018	145.098	0082-0122
30.921	145.075	0082-0122
30.824	145.051	0082-0122
30.727	145.028	0082-0122
30.630	145.005	0082-0122
30.532	144.981	0082-0122
30.435	144.958	0082-0122
30.338	144.935	0082-0122
30.241	144.911	0082-0122
30.143	144.888	0082-0122
30.046	144.865	0082-0122
29.949	144.841	0082-0122
29.852	144.818	0082-0122
29.754	144.794	0082-0122
29.657	144.771	0082-0122
29.560	144.748	0082-0122
29.463	144.724	0082-0122
29.366	144.701	0082-0122
29.268	144.678	0082-0122
29.171	144.654	0082-0122
29.074	144.631	0082-0122
28.977	144.608	0082-0122
28.879	144.584	0082-0122
28.782	144.561	0082-0122
28.685	144.537	0082-0122
28.588	144.514	0082-0122
28.490	144.491	0082-0122
28.393	144.467	0082-0122
28.296	144.444	0082-0122
28.199	144.421	0082-0122
28.101	144.397	0082-0122
28.004	144.374	0082-0122
27.907	144.350	0082-0122
27.810	144.327	0082-0122
27.713	144.304	0082-0122
27.615	144.280	0082-0122
27.518	144.257	0082-0122
27.421	144.234	0082-0122
27.324	144.210	0082-0122
27.226	144.187	0082-0122
27.129	144.164	0082-0122
